Store Names,Store Type,Location,Description
Bakmi Ayam Alok ,FOOD,3F,Cita rasa kuah kaldu asli dipadu dengan tekstur bakmi yang kenyal menjadi ciri khas kami yang menarik banyak pelanggan setia.
Bakmi GM ,FOOD,2F,"Menyajikan makanan lezat dengan presentasi cepat dan kualitas makanan sehat. BAKMI GM selalu menggunakan bahan baku berkualitas tinggi, menjaga kebersihan dengan proses kerja berstandar internasional. BAKMI GM hadir di AEON Mall BSD City dengan beberapa pilihan layanan seperti Dine In, Take Away, Pengiriman, Prasmanan, Menu Anak, dan banyak variasi lainnya"
Bakso Malang Igaku,FOOD,3F,
Baku Dapa Kuliner Manado ,FOOD,3F,
Ban ban,FOOD,GF,
Bank Mandiri,SERVICE,GF,"Memberikan solusi perbankan terbaik kapan pun dan di mana pun. Kini kami hadir di AEON MALL BSD CITY. Didukung ATM, Cash Deposit Machine, Mandiri SMS Banking, Mandiri Mobile Banking, Mandiri Internet Banking dan Mandiri Call, siap melayani 24 jam / 7hari dalam seminggu. Apapun keinginan Anda, Mandiri saja."
Baskin Robbins ,FOOD,3F,"""Baskin-Robbins, one of the biggest franchises in the world's Ice Cream, a specialist in the Premium Ice Cream with a variety of flavors. Communities around the world have enjoyed a wide variety of treats Baskin-Robbins high value.

Baskin-Robbins himself was present in more than 7,000 locations in nearly 50 countries worldwide. Highest enthusiasts American countries, China and Indonesia."""
Bateeq ,FASHION,2F,"Bateeq menyediakan koleksi batik modern berupa: kemeja pria slim fit, reguler, baju wanita, fashion, busana muslim, anak-anak, t-shirt dengan berbagai bahan katun, sutera, ATBM, cap, dan kombinasi dari bahan-bahan tersebut. Bateeq merupakan sebuah toko yang eksklusif dan modern yang membuat pengunjung nyaman berbelanja dan mendapatkan pelayanan yang memuaskan."
Bath & Body Works,GOODS,GF,"Bath & Body Works merupakan salah satu pemimpin dunia di bidang special retail dan rumah bagi America's Favorite Fragrances® yang menawarkan berbagai wewangian untuk tubuh & rumah, termasuk koleksi penjualan #1 untuk body lotion dan body cream, body wash, hand soap dan fine fragrance mist. Selama lebih 25 tahun, para customer mencari Bath & Body Works untuk kualitas, produk terkini dan wewangian paling segar yang ditawarkan. Sekarang produk-produk tersebut bisa didapatkan di toko Bath & Body Works dan White Barn yang tersebar sebanyak 1,800 toko diseluruh dunia. Di Indonesia, kami terdapat 14 toko Bath & Body Works yang tersebar di Jakarta, Tangerang, Surabaya, Bandung dan Bali."
BCA ,SERVICE,GF,"Berdiri sejak 1957, kami hadir di tengah masyarakat Indonesia dan tumbuh menjadi salah satu bank terbesar di Indonesia. Selama hampir 60 tahun kami tak pernah berhenti menawarkan beragam solusi perbankan yang menjawab kebutuhan finansial nasabah dari berbagai kalangan."
Beard Papa ,FOOD,GF,Beard papa merupakan salah satu Puff Cream terbaik di dunia yang lembut dan kenyal serta custard cream dibuat dengan vanilla bean tanpa bahan pewarna buatan dan tanpa bahan pengawet.
Beauty Haul,GOODS,1F,"Beauty Haul menyediakan Produk Kecantikan,Makeup,Tools, & Skincare terbaik 100% ASLI  dengan harga yang terjangkau."
Beauty Scent,GOODS,GF,"Hai Beauties!
Luangkan waktu untuk membuat Anda merasa cantik di Toko kami. Datang dan dapatkan produk favorit Anda. Tidak sabar untuk bertemu Anda di sana Beauties."
Best Denki ,GOODS,3F,"Best Denki Co, Ltd adalah perusahaan elektronik berbasis ritel dengan store yang tersebar di seluruh dunia seperti Jepang, Malaysia, Singapura, Taiwan, & Indonesia. Didirikan dari tahun 1953, Best Denki telah berkembang secara agresif selama bertahun-tahun dan sekarang telah beroperasi lebih dari 600 stores."
Birkenstock ,FASHION,1F,"Birkenstock adalah pelopor utama sandal dengan sol berbahan gabus. Dibentuk dan dibuat di Jerman, Birkenstock hanya menggunakan bahan baku terbaik untuk semua koleksi nya dan kini merek ini dikenal sebagai merek alas kaki kesehatan di seluruh dunia"
BNI  ,SERVICE,GF,PEMBUKAAN KANTOR DI AEON Mall BSD City . Kami siap melayani seluruh transaksi perbankan Anda: Ayo buka rekening dan aktifkan BNI e-Banking dan dapatkan hadiah menarik. BNI memberi lebih.
Boost Juice,FOOD,GF,"Boost Juice - smoothie dan jus segar favorit anak bangsa! Kami melayani jutaan orang Indonesia dengan kemasan hijau kami yang khas, kaya akan kelezatan buah dan sayuran.

Kelezatan yang berasal dari kebaikan alami yang sederhana, disajikan kepada Anda dengan penuh cinta yang akan membuat Anda sangat bahagia, dan yang bahkan akan membuat Anda berbagi keceriaan dengan orang lain.

Ini tentang cara membuat hidup sehat terasa mudah!! Jadi secara alami, nutrisi menjadi komponen kunci dalam mengembangkan rangkaian smoothie dan jus segar yang membuat kami memadukan jutaan ton buah dan sayuran setiap tahun.

Tidak percaya? Kami akan buktikan! Mari kunjungi kami di Boost Juice dan cobalah sendiri."
BRANZ (Property),SERVICE,GF,"Branz, salah satu merek properti residensial paling terkenal di Jepang dari Tokyu Land Corporation, hadir di Indonesia untuk pertama kalinya.
Untuk info lebih lanjut, kunjungi booth kami"
Burger King,FOOD,3F,Burger King kini hadir di aeon mall bsd city. Kami menyuguhkan berbagai pilihan makanan untuk anda nikmati
Burger King,FOOD,3MF,Burger King kini hadir di aeon mall bsd city. Kami menyuguhkan berbagai pilihan makanan untuk anda nikmati
C&F perfumery ,GOODS,GF,"C&F Perfumery adalah ritel parfum terkemuka yang menyediakan berbagai merek parfum ternama, dengan jumlah lebih dari 150 gerai yang tersebar di Indonesia. C&F juga menjadi distributor eksklusif bagi lebih dari 30 merek internasional dan memproduksi merek parfum & kosmetik lokal."
Casio ,GOODS,GF,"Casio Computer Co, Ltd merupakan sebuah perusahaan multinasional yang menghasilkan berbagai macam produk elektronik. Perusahaan ini didirikan pada tahun 1946, dan pada tahun 1957 dirilis Kalkulator pertama didunia. Perusahaan ini bermarkas di Shibuya, Tokyo, Jepang"
Charles & Keith ,FASHION,1F,"Gerai CHARLES & KEITH ke-44 kini hadir di AEON Mall BSD City dengan konsep design modern minimalis. CHARLES & KEITH menawarkan anda pengalaman berbelanja tas, sepatu, dan aksesoris wanita"
Châteraisé,FOOD,GF,"Châteraisé pertama kali didirikan pada Desember 1954, di kaki Gunung Fuji, Jepang. Produk-produk Châteraisé dibuat secara eksklusif dari bahan-bahan alami pilihan yang didapat langsung dari para petani terpercaya. Selain itu, semua kue, es krim dan produk Châteraisé lainnya diproduksi di pabrik Châteraisé, kemudian diekspor ke seluruh toko Châteraisé di berbagai belahan dunia.

Saat ini, Châteraisé sudah membuka lebih dari 500 toko di seluruh Jepang dan 24 toko di berbagai negara seperti, China, Korea Selatan, Thailand, Taiwan, Uni Emirat Arab, Hong Kong, Malaysia, Singapura, dan Indonesia.
Di Indonesia, toko pertama Châteraisé dibuka pada 21 Oktober 2017, di Senayan City. Kemudian, kami membuka 8 toko baru di Kem Chicks Pacific Place, Pondok Indah Mall, Central Park Mall, Kelapa Gading Mall 2, Grand Indonesia, ÆON Jakarta Garden City, The Foodhall, Lippo Mall Puri, dan sekarang ÆON Mall BSD.

Châteraisé akan terus menawarkan produk-produk berkualitas tinggi dengan kue dan buah-buahan yang langsung diimpor dari Jepang."
Chatime ,FOOD,GF,"Hello, tea lovers! Chatime kini hadir di AEON Mall BSD City. Nikmati pilihan rasa dan topping super lezat, kombinasikan sesuai selera. Varian menu: Mellow Milk Tea, Smoothie Series, Oriental Pop Tea, CHATIME Special Mix, Energetic Healthy Juice, QQ Jelly, Fresh Tea, Coffee, dan Mousse Series."
Chuwi Yogurt,FOOD,1F,Now Chuwing at AEON MALL BSD CITY
CIMB Niaga Digital Lounge ,SERVICE,GF,"Inovasi CIMB Niaga untuk Anda, siap melayani pembukaan rekening, pendaftaran branchless banking, ganti kartu ATM, info promosi dan transaksi Video Banking. Instan, Praktis & Mudah."
Cindy ,GOODS,2F,"Cindy Gift Shop menyediakan berbagai pernak-pernik yang cocok untuk menjadi hadiah untuk orang yang Anda cintai. Koleksinya cocok untuk segala usia, dari anak-anak hingga orang dewasa."
Cinema XXI ,ENTERTAINMENT,3F,"Cinema XXI akan Hadir di AEON Mall BSD City Lantai 3-21. CINEMA XXI merupakan perusahaan bioskop terbesar di Indonesia yang memulai kiprahnya di industri hiburan sejak tahun 1987. Lebih dari 27 tahun, CINEMA XXI berkomitmen untuk senantiasa memberikan pengalaman dan kenikmatan menonton terbaik untuk masyarakat Indonesia. Sampai dengan Januari tahun ini, CINEMA XXI memiliki total 768 layar tersebar di 33 kota di 145 lokasi di seluruh Indonesia."
Cold Stone ,FOOD,GF,"Cold Stone Creamery menawarkan super-premium ice cream dan sorbet, dibuat dari bahan baku berkualitas sangat baik dan diproduksi baru setiap harinya dan dapat dikreasikan dengan beragam pilihan topping yang disiapkan di atas batu granit beku."
Coolkids,FASHION,2F,Sejak tahun 1987 kami telah memproduksi pakaian berkualitas tinggi untuk anak dan bayi. Produk kami tersedia di toko-toko Cool Kids dan di department store terkemuka di seluruh Indonesia. Bahan berkualitas tinggi dan desain yang trendi selalu menjadi perhatian kami dalam menyediakan pakaian yang berkualitas bagi para konsumen kami.
COWAY,GOODS,1F,"Coway International adalah perusahaan produsen Air Purifier dan Water Purifier No.1 di Korea Selatan. Coway telah memulai bisnis sejak tahun 1989 dan memperluas wilayah bisnisnya ke AS, Cina, Thailand, Malaysia, dan di tahun 2019 ini telah resmi hadir di Indonesia dengan nama PT Coway International Indonesia. Coway kini telah memiliki lebih dari 6 (enam) juta pelanggan di seluruh dunia, dengan portofolio 6 (enam) total produk, masing-masing 3 (tiga) model water purifier, 2 (dua) model air purifier dan 1 model water filter.

Coway telah memiliki pusat R&D Center yang bertempat di Seoul National University dan juga menyediakan layanan HEART di mana CODY (Coway Lady) kami akan secara reguler (2 bulan sekali) mengunjungi pelanggan untuk mengelola produk agar tetap bersih dan tahan lebih lama.

Coway Air Purifier merupakan salah satu produk air purifier terbaik dengan system 4 (empat) langkah HEPA filter yang dapat menghilangkan debu halus tak kasat mata secara efektif (0.01um), menangkap kontaminan seperti virus (0.05um~0.5um), mikroorganisme (0.5um~3um), debu ruangan, tungau, dan kontaminan berbahaya lainnya. Sehingga menghasilkan kualitas udara yang lebih baik bagi setiap orang. Sirkulatornya yang kuat memperluas aliran udara dengan jangkauan sampai dengan 6 (enam) meter yang dapat meningkatkan sirkulasi udara dalam ruangan dengan lebih efektif.

Coway Water Purifier terdiri dari Ombak, Villaem II, Core, sebuah inovasi yang dapat menyaring air dari sumbernya langsung, tidak perlu repot menggunakan water gallon lagi. Pemurni Air Ombak memahami setiap kebutuhan dengan 50 tipe pengaturan suhu air yang dapat diatur sesuai keinginan. Memiliki 6 Tahap Filter Penyaringan, Sistem Filter Intensif Reverse Osmosis, Sterilisasi Sinar UV yang secara efektif mematikan mikroorganisme seperti virus, protozoa, dan bakteri, Child Lock Mode, aman dan tersertifikasi oleh Water Quality Association. Pemurni Air Core, dengan kapasitas tangki air lebih besar, memurnikan air lebih banyak, sangat cocok untuk kebutuhan kantor. Pemurni Air Villaem II disertai fitur Mode Eco, sensor cahaya yang secara otomatis mengurangi konsumsi energi dari mesin dan pemanas air pada malam hari. Hemat energi dan ramah lingkungan."
D'Crepes ,FOOD,3F,"Beef Mexicana, Burger Daging Sapi, Daging Sapi dan Keju Asap, Keripik Choco Crispy, Selai Kacang Crispy, Crispy Original, Keju Pisang Choco, Kacang Choco dan Keju"
Daiso Japan ,GOODS,2F,"Menawarkan kategori produk yang luas mulai dari perlengkapan dapur, perlengkapan mandi sampai perkakas rumah tangga, semuanya dengan kualitas tinggi berstandar Jepang dan dalam satu harga. Pelanggan kami selalu datang kembali ke toko dan selalu mendapatkan hal baru, dimana ini merupakan kunci sukses DAISO JAPAN."
Daniel Wellington ,GOODS,1F,"Berdiri pada tahun 2012, Daniel Wellington dikenal dengan tampilannya yang elegan dan klasik, namun tetap terkesan kasual.　Desainnya yang minimalis sangat cocok dipadukan dengan berbagai pilihan strap NATO yang ikonik. Daniel Wellington, jam tangan yang tepat untuk semua kesempatan."
Dapur Solo ,FOOD,GF,"Dapur Solo bermula dari usaha yang didirikan di garasi rumah Ny. Swan Kumarga pada tahun 1988 dan hingga kini berkembang, selain 14 cabang restoran, sejak tahun 2010 telah hadir pula 11 cabang layanan delivery nasi kotak sejabodetabek di bawah nama Dapur Solo Lunch Box. Dengan visi melestarikan budaya Indonesia terutama makanan tradisional Jawa khas Solo, kami berkomitmen akan terus mengembangkan kualitas produk kami melalui pelayanan yang prima oleh segenap sumber daya manusia kami yang berkarakter bangsa Indonesia."
De Wasz Laundry ,SERVICE,GF,"Apapun jenis pakaiannya, untuk urusan mencuci De Wasz pilihannya"
De'Sound ,GOODS,3F,"Desound adalah ruang audio premium yang menyediakan berbagai produk kelas dunia. Dari Personal Audio (Headphone dan Earphone), Multimedia (Speaker Portabel), HiFi, Sistem Karaoke, dan Home Theater. Aksesori pendukung seperti Kabel, Braket, dan Layar, juga tersedia untuk mendukung kebutuhan sistem Anda."
Digimap,GOODS,GF,"Selamat datang di digimap – Apple Premium & Authorized Reseller

Temukan pengalaman belanja terbaik untuk produk-produk Apple di digimap, Apple Premium & Authorized Reseller. digimap menawarkan produk-produk terbaru Apple seperti iPhone XS dan iPhone XS Max, Apple Watch Series 4,  MacBook Pro with Touch Bar tahun 2018, iPad terbaru seperti iPad 9.7 dan tipe iPad Pro 10.5-inch yang lebih kuat dan baru ini diluncurkan, iPod, Apple TV and more.

What is an Apple Premium Reseller ?
digimap adalah Apple Premium & Authorized Reseller di Indonesia. Karyawan digimap telah dilatih untuk menjadi ahli produk-produk Apple dan karyawan kami siap membantu Anda untuk memberikan saran dan pelayanan untuk pelanggan kami, termasuk Anda!

Melalui berbagai produk yang ditawarkan oleh kami, digimap memberi kekuatan kepada pelanggan teknologi digital untuk memilih produk sesuai dengan kebutuhan sehari-hari mereka.

Produk yang kami tawarkan?
digimap, menawarkan produk-produk terbaru dari Apple dan pilihan aksesoris Apple serta aksesoris lainnya untuk melengkapi produk Apple Anda. Pelatihan dan pelayanan IT juga tersedia sesuai kebutuhan, diberikan oleh spesialis Apple kami yang siap memberikan saran, nasihat dan tips penggunaan untuk mempermudah pengalaman belanja Anda dengan digimap.

Dimana lokasi gerai digimap?
Gerai digimap dapat ditemukan digimap di banyak mal belanja serta area pusat bisnis di seluruh Indonesia. digimap saat ini memiliki 18 gerai utama di Indonesia."
Doner Kebab ,FOOD,GF,"Kebab merupakan makanan khas daerah Timur Tengah yang berkolesterol rendah, yaitu daging yang disajikan dengan sayuran dan saos pilihan, dibungkus (digulung) bersama roti Libanon (Lebanese Bread). Dagingnya dibakar / dipanggang dimesin pembakar vertical dan rotinya setelah digulung di-toast dengan mesin toaster khusus. Makanan ini sangat popular di Australia, Eropa dan daerah Mediterania lainnya."
Donini ,FASHION,1F,Sejak 1970 DONINI sudah dikenal sebagai produsen tas kulit yang ternama. Perhatian terhadap detail memberikan hasil tas yang berkualitas tinggi. Bahan dasar yang digunakan berasal dari Italia dan aksesorisnya dengan desain eksklusif.
Dparis,GOODS,1F,"Dparis hadir memenuhi kebutuhan wanita akan aksesoris dalam melengkapi kehidupan sehari-hari, dan sebagai pendukung penampilan yang lebih menarik dan indah, sesuai dengan misi Dparis “Beautify U”."
Dwidaya Tour ,SERVICE,3F,"Dwidayatour, solusi perjalanan wisata Anda yang berkualitas. Memiliki layanan tour, booking tiket pesawat & hotel serta dokumen & asuransi perjalanan MICE. Kunjungi cabang Dwidayatour di AEON MALL BSD CITY dan dapatkan berbagai penawaran menarik!“Dwidayatour Making Travel Easy”."
Eatlah ,FOOD,GF,Habiskan hari Anda dengan sekotak ayam telur asin Nikmati!
Eka Karya Orchid ,GOODS,GF,"Terletak di kawasan Asia Tenggara, Indonesia menawarkan kondisi iklim yang bersahabat untuk pertumbuhan berbagai spesies bunga di seluruh kepulauannya. Lokasi geografis kami menyediakan rumah surgawi di antara mereka, keluarga bunga anggrek yang indah & banyak didambakan seperti genus Phalaenopsis & Dendrobium yang berasal dari Indonesia, juga bunga eksotis seperti genus Anthurium, berbagai Mawar hingga bunga-bunga elegan seperti Ivy. Menyadari keunggulan ini, perusahaan kami PT Ekakarya Graha Flora bertekad untuk meraih peluang ini & memenuhi potensi untuk menjadi penumbuh & penjual bunga terbesar yang disebutkan di atas, di tanah air kami."
Eprise ,FASHION,2F,"EPRISE adalah busana wanita modern, stylish dan dapat dikenakan pada suasana santai, busana kerja maupun acara resmi. Sejak 1997, secara konsisten menjaga kualitas pada bahan dan gaya busana up to date. Saat ini terus berkembang menjadi sebuah fashion brand yang berbasis gaya dan kenyamanan berbusana."
Erafone,GOODS,3F,"Erafone Store adalah anak usaha Erajaya Group yang merupakan sebuah retail selular multi-brand berkonsep baru dan modern yang menggabungkan kelengkapan produk, solusi serta kenyamanan berbelanja secara terintegrasi, sehingga konsumen Erafone akan memperoleh pengalaman dan solusi terbaik saat mencari perangkat telekomunikasi selular."
Erha Store,GOODS,GF,"ErhaStore mengusung tema Beauty Tech Store, di mana konsumen dapat sekaligus mencoba fitur-fitur
dan fasilitas unggulan yang canggih seperti fasilitas Skin Testing gratis dengan menggunakan Smart Skin
Analysis Device. Skin testing ini menggunakan teknologi Artificial Intelligence (AI) yang dapat
menganalisa kondisi kulit dan permasalahan kulit wajah yang dialami, serta langsung dapat memberikan
rekomendasi mengenai produk perawatan yang dapat membantu mengatasi masalah tersebut. Adapula
Smart Touch Screen Monitor, dimana konsumen secara mandiri bisa langsung mendapatkan informasi
detail mengenai produk dengan cara yang sangat mudah."
Essentials,FASHION,2F,"Founded in 2011 Urban&Co has grown and become one of the most prestigious women’s fashion brand in Indonesia. Urban&Co has delivered luxurious products through a simple yet elegant design. Urban&Co only use assorted high quality materials that exude charm and luxury. Every product of Urban&Co manufactured with high-precision that intensify the charm and amplify the character of the wearer.

Urban&Co also celebrate the spirit of youth through Essentials Urban&Co products. Essentials Urban&Co product specifically designed to amplify the cheerful, fresh and young energy of the youth. Every Essentials Urban&Co products are more flexible and suitable in every occasion."
Et Cetera ,FASHION,1F,"Merek fashion untuk wanita urban yang elegan dengan desain karakter kontemporer, sederhana, santai, dan effortless dengan detail yang unik. Koleksi Et Cetera hadir dengan bahan berkualitas terbaik dan nyaman seperti katun, linen, dan satin dengan karakter warna pastel dan neutral yang menjadi ciri khas Et Cetera."
Everbest,FASHION,1F,"Everbest Group merupakan salah satu perusahaan yang bergerak di bidang retail yang berasal dari Singapura dan telah merancang, membuat dan menjual sepatu selama lebih dari 30 tahun. Koleksi sepatu kami bisa didapatkan terutama di wilayah Asia Tenggara, tetapi juga dapat ditemukan di negara-negara yang luas seperti Inggris, Mauritius dan Australia."
Eyes Spice,GOODS,1F,Eyes Spice Softlens
Famous Amos & DG Chocolate Gallery  ,FOOD,GF,"Famous Amos Cookies berdiri sejak 1997, fresh home-baked chocolate chip cookies bisa dinikmati di outlet kami. DG Chocolate Gallery menantang anda untuk merasakan kualitas produk cokelat kami. Kenikmatan murni akan membuat mimpi anda menjadi nyata."
Frank & Co,GOODS,GF,"Frank & co. adalah perusahaan perhiasan yang ahli di bidangnya, dengan berbagai macam koleksi uniknya.
Kami mengolah berlian sesuai dengan prosedur yang tepat dan memilih yang terbaik dari yang terbaik untuk mengubahnya menjadi harta paling mempesona."
Ginza Nail ,SERVICE,1F,Ginza Nail merupakan nail art pertama yang menggunakan teknologi kuku & nail art terbaru dari Jepang dan USA dengan harga terjangkau. Salon kami menggunakan peralatan professional Nail Service & Waxing.
Giordano,FASHION,1F,
Gokkana Teppan,FOOD,GF,"GOKANA yang dalam bahasa Jepang berarti “mewah”, hadir menyuguhkan konsep yang berbeda, dengan kemewahan interior, menu, dan rasa yang istimewa. Menu-menu yang disajikan merupakan menu dengan bahan berkualitas tinggi. Proses pemasakan menggunakan konsep “cook by order”, dimana makanan dimasak setelah ada pesanan dari customer."
Golden Lamian ,FOOD,GF,Lamien terbaik di kota dengan kaya cita rasa istimewa dan penuh kesegaran.
Gramedia ,GOODS,2F,"Gramedia Asri Media adalah anak perusahaan Kompas Gramedia yang menyediakan jaringan toko buku dengan nama Toko Buku Gramedia di beberapa kota di Indonesia dan Malaysia. Perusahaan ini didirikan pada tanggal 2 Februari 1970 dengan diawali dari satu toko buku kecil berukuran 25m² di daerah Jakarta Barat dan sampai tahun 2002 telah berkembang menjadi lebih dari 50 toko yang tersebar di seluruh Indonesia. Selain menyediakan buku, Toko Buku Gramedia menyediakan berbagai produk lain seperti alat tulis, perlengkapan kantor, alat olahraga, alat musik, dll.
Perusahaan ini bekerja sama dengan penerbit-penerbit buku baik dalam maupun luar negeri. Dari kelompok usahanya sendiri, pemasok ke Toko Buku Gramedia antara lain adalah Gramedia Pustaka Utama, Elex Media Komputindo, Gramedia Widya Sarana, Bhuana Ilmu Populer, dan Gramedia Majalah, sementara dari luar negeri misalnya Prentice Hall, McGraw Hill, Addison Wesley, dll.
Pada 9 Mei 2015 Gramedia meluncurkan konsep dan logo baru, konsep baru ini mengusung New Experience, yaitu konsep toko buku Gramedia yang dibagi dalam ruang atau chamber berdasarkan tema yang beragam. Konsep ini diterapkan pertama kali di Toko Buku Gramedia Central Park. Sedangkan untuk logo barunya, merupakan logotype dengan huruf ""G"" dan tulisan GRAMEDIA yang memiliki makna kreativitas, fleskibilitas, kemajuan, perubahan, dan kekuatan untuk memberikan ide dan insipirasi dalam mencerdaskan kehidupan bangsa Indonesia"
Greenology,FOOD,GF,Hidup sehat dan masih bisa menikmati suguhan lezat? Kenapa tidak? kami memiliki Greenology
GS Shop ,GOODS,2F,"Your One Stop Gaming Solution!
GSSHOP adalah video game superstore terbesar di Indonesia.
Kami menawarkan beragam pilihan untuk video gim, board gim, trading card gim, dan variasi keren aksesoris gim.

GSSHOP juga dealer resmi untuk PlayStation, Nintendo, MSI, Razer, HYPERX, POKEMON dan masih banyak lagi.
Toko kami menjadi pilihan favorit untuk keluarga dan para pecinta gim dalam pusat perbelanjaan modern yang tersebar di Indonesia.
Kami menyediakan barang garansi resmi dan berkualitas tinggi yang sangat cocok untuk kebutuhan gaming.

Motto kami adalah ""Jelas Barangnya Jelas Garansinya""
GSSHOP menyediakan keamanan dan kenyamanan dalam pembelian produk gaming.
Dan selalu menjadi yang terbaru dalam kelengkapan produk gaming untuk Indonesia!"
Guardian ,GOODS,GF,"Memulai bisnisnya di Indonesia sejak tahun 1990, Guardian merupakan pelopor dalam industri kesehatan dan kecantikan dan jawaban dari kebutuhan konsumen terhadap onestop- shopping pharmacy."
Guess,FASHION,GF,
Guldens Mice,FOOD,3F,Taste Is Our Pride
Gyukaku,FOOD,GF,"Gyu-kaku menjadi pilihan nomor 1 untuk restoran daging panggang dan saat ini sudah buka 600 toko di Jepang dan 30 toko di luar negeri khususnya di Asia. Shabu-shabu biasanya disajikan dalam suasana yang formal, Onyasai mengubah aturan ini dengan kualitas tinggi, daging yang lezat dan sayuran melimpah disajikan dengan suasana yang nyaman dan santai"
H&M,FASHION,1F,"Hennes & Mauritz AB (H&M) adalah perusahaan pakaian ritel multinasional Swedia yang menawarkan mode dan kualitas dengan harga yang berkelanjutan untuk wanita, pria, remaja, dan anak-anak. Rentang ini mencakup segala sesuatu mulai dari pakaian gala yang berkilau dan kolaborasi desainer eksklusif hingga dasar-dasar sehari-hari dan pakaian yoga berkinerja tinggi untuk membantu penggemar fashion di seluruh dunia berpakaian dengan gaya pribadi mereka."
